slug,station_id,order
river-bourne-addlestone,7224,1
river-bourne-addlestone,7225,2
alconbury-brook,6075,1
alconbury-brook,6161,2
alconbury-brook,6150,3
aldford-brook,4174,1
aldingbourne-rife,9254,1
aller-brook,3204,1
allison-dike,9324,1
alverthorpe-beck,8311,1
alverthorpe-beck,8353,2
alwen,4166,1
alyn,4186,1
alyn,4242,2
alyn,4243,3
alyn,4182,4
alyn,4244,5
ampney-brook,7021,1
ampney-brook,7022,2
arkle-beck,8168,1
arrowe-brook,5002,1
ashbrooke,2199,1
atherfield-brook,9171,1
babingley-river,6248,1
back-delfin,9147,1
badsey-brook,9484,1
badsey-brook,9483,2
badsey-brook,2015,3
bagley-brook,2210,1
bagley-dike,9328,1
baguley-brook,5197,1
baildon-dike,9334,1
balne-beck,9046,1
balne-beck,9399,2
barbourne-brook,2235,1
barbourne-brook,2236,2
bardsey-beck,8236,1
barge-canal,9235,1
barlings-eau,6052,1
barmston-drain,9361,1
barnham-rife,9251,1
bartley-water,9170,1
bartley-water,9221,2
bartley-water,9264,3
bartley-water,9263,4
barton-haven,6242,1
batley-beck,9032,1
batley-beck,8348,2
batley-beck,8347,3
bear-brook,7091,1
beaulieu-river,9201,1
beaulieu-river,9239,2
beaulieu-river,9238,3
bechan-brook,4259,1
bedale-beck,9142,1
bedburn-beck,8018,1
beverley-brook,7292,1
beverley-brook,7293,2
beverley-brook,7297,3
beverley-brook,7298,4
beverley-brook,7299,5
bickerly-mill-stream,9227,1
bielby-beck,9145,1
billinghay-skirth,6071,1
billinghay-skirth,6227,2
bin-brook,6246,1
bishop-monkton-beck,8229,1
black-brook-leicestershire,2161,1
blackburn-brook,8341,1
blackburn-brook,8261,2
blackfoss-beck,9144,1
blacup-beck,8297,1
bloxham-brook,7061,1
blue-beck,8332,1
bodmin-town-leat,3395,1
bolingey-stream,3173,1
bosham-stream,9255,1
bottle-brook,2191,1
boundary-brook,9365,1
bourn-brook,6262,1
bourn-brook,6197,2
bourne-brook,9111,1
bourne-rivulet,9231,1
bourne-rivulet,9205,2
bow-brook,2224,1
bow-brook,2010,2
bowmont-water,8375,1
bradford-beck,9390,1
bradford-beck,9048,2
bradiford-water,3109,1
bradley-brook,3411,1
bramham-beck,8329,1
brampton-branch,6218,1
brampton-branch,6118,2
brampton-branch,6122,3
brampton-branch,6102,4
bridgehouse-beck,9039,1
brinkworth-brook,9122,1
brinkworth-brook,3419,2
brislington-brook,3032,1
river-frome-bristol,3009,1
river-frome-bristol,3023,2
river-frome-bristol,3029,3
river-frome-bristol,3036,4
river-frome-bristol,3413,5
river-frome-bristol,3412,6
broad-fleet,5110,1
brompton-beck,8188,1
brook-dike,8254,1
brough-beck,8283,1
brough-beck,9344,2
brough-beck,8284,3
broughton-beck,8035,1
broughton-brook,6164,1
browney-dyke,9386,1
brownwich-stream,9176,1
buck-beck,9304,1
budleigh-brook,3348,1
budleigh-brook,3236,2
bulstake-stream,7075,1
bumpstead-brook,6133,1
burrow-beck,5185,1
burstow-stream,7255,1
burstow-stream,7256,2
burstwick-drain,8239,1
bury-brook,6256,1
bushy-beck,9321,1
by-brook,3022,1
by-brook,3040,2
caker-stream,7228,1
camlad,4263,1
candover-stream,1050,1
canley-brook,9110,1
canley-brook,9097,2
cannington-brook,3378,1
cannon-brook,9307,1
canons-brook,7355,1
carnon-river,3161,1
carr-brook,9327,1
catcliffe-drain,8322,1
ceiriog,4162,1
chad-brook,6136,1
chalgrove-brook,7404,1
charlton-brook,8318,1
cheddar-yeo,3410,1
cheriton-stream,1057,1
river-bourne-chertsey,7217,1
river-bourne-chertsey,7218,2
river-bourne-chertsey,7219,3
river-bourne-chertsey,7220,4
chew-stoke-brook,3031,1
ching-brook,7008,1
ching-brook,7373,2
chitterne-brook,3321,1
clackers-brook,9279,1
clanfield-brook,7039,1
clay-coton-brook,9057,1
clipstone-brook,6156,1
clow-beck,8362,1
coal-burn,5033,1
coastal-stream,3387,1
cobbins-brook,7363,1
cobbins-brook,7364,2
cock-beck,9350,1
cocker-beck,2215,1
cockers-dyke,5113,1
cockshaw-burn,8270,1
cockshaw-burn,8271,2
cockshaw-burn,8273,3
cod-beck,8286,1
cod-beck,8287,2
cod-beck,8063,3
colliters-brook,3033,1
colne-brook,7199,1
colne-brook,9297,2
colne-brook,7212,3
colne-brook,7208,4
colne-water,5188,1
combe-haven,1166,1
coney-gut,3117,1
coney-gut,3108,2
congresbury-yeo,3060,1
cove-brook,9408,1
cove-brook,7400,2
cragg-brook,8321,1
cranleigh-waters,7233,1
cranleigh-waters,7235,2
cripsey-brook,7377,1
cripsey-brook,7378,2
cuckmere-pevensey-levels,1167,1
cundall-beck,8016,1
cunsey-beck,5209,1
currymoor-drain,3064,1
dacre-beck,5040,1
danes-stream,9210,1
danes-stream,9208,2
daniels-brook,2183,1
daniels-brook,9416,2
dauntsey-brook,3030,1
dawlish-water,3404,1
day-brook,2231,1
de-lank-river,3136,1
dean,5133,1
dean-bottom-beck,8301,1
deans-brook,7283,1
dimore-brook,2229,1
dimore-brook,2221,2
docken-s-water,3313,1
dollis-brook,7278,1
dollis-brook,7279,2
doniford-stream,9261,1
doniford-stream,3087,2
doniford-stream,3090,3
dorcan-brook,7029,1
river-frome-dorset,3278,1
river-frome-dorset,3277,2
river-frome-dorset,3272,3
river-frome-dorset,3275,4
river-frome-dorset,3280,5
dover-beck,2232,1
dovers-brook,5227,1
dowles-brook,2023,1
dragley-beck,9241,1
ea-beck,8243,1
ea-beck,8244,2
ea-beck,8151,3
eagley-brook,5200,1
earby-beck,8070,1
earby-beck,8250,2
east-clandon-stream,7238,1
east-dart-river,3215,1
east-fen-catchwater,6229,1
east-glen-river,6033,1
east-glen-river,6040,2
east-lyn-river,3099,1
east-okement-river,3407,1
east-stour-kent,1129,1
east-stour-kent,9140,2
east-wilder-brook,3359,1
eastburn-beck,8252,1
eastburn-beck,8060,2
eastern-yar,9184,1
eastern-yar,9168,2
eastern-yar,9185,3
eastern-yar,9215,4
eastern-yar,1018,5
edgware-brook,7284,1
egginton-brook,9079,1
eller-beck,9315,1
eller-beck,9316,2
eller-beck,8187,3
eller-beck,9317,4
elvington-beck,9357,1
emm-brook,7153,1
emral-brook,4168,1
endon-brook,9105,1
eridge-stream,1076,1
ewelme-brook,7098,1
exminster-marshes,3253,1
exminster-marshes,3241,2
farnley-beck,8306,1
fenay-beck,8260,1
ferring-rife,9260,1
finham-brook,9056,1
fishlake-stream,9195,1
western-drain,8373,1
fleet-drain,8338,2
flood-channel,2096,1
ford-brook,9087,1
ford-green-brook,9098,1
fosdyke-canal,6047,1
foston-beck,6066,1
foston-brook,9088,1
foudry-brook,7130,1
fowlea-brook,9086,1
fowler-bridge-drain,9288,1
frays-river,7197,1
frays-river,7205,2
frodingham-beck,9362,1
gaddesby-brook,2214,1
gatwick-stream,7251,1
gatwick-stream,7252,2
gatwick-stream,7253,3
gauze-brook,3018,1
gelyn,4164,1
gilwiskaw-brook,9092,1
ginge-brook,7082,1
glaze-brook,5228,1
glen-stream,3234,1
glenridding-beck,9113,1
glossop-brook,5079,1
gowdall-ings,8344,1
grace-dieu-brook,2233,1
great-stour-kent,1132,1
great-stour-kent,1137,2
great-stour-kent,1133,3
great-stour-kent,1145,4
great-stour-kent,1135,5
great-stour-kent,9274,6
great-stour-kent,1143,7
great-stour-kent,9148,8
great-stour-kent,1134,9
great-stour-kent,9130,10
great-stour-kent,9083,11
green-dyke,9384,1
grimescar-dike,9323,1
gurnard-luck,1046,1
gwyle,3421,1
gypsey-race,8029,1
hagnaby-beck,6231,1
halse-water,3081,1
harpers-brook,9396,1
harpers-brook,6105,2
hart-burn,8092,1
hartburn-beck,8363,1
harwood-beck,8093,1
hatherley-brook,2207,1
hatherley-brook,2208,2
haweswater-beck,5025,1
haweswater-reservoir,5211,1
hawkcombe-stream,3396,1
heacham-river,6268,1
hebble-brook,9319,1
hebden-water,8152,1
heighington-beck,6061,1
hellifield-beck,5191,1
henmore-brook,9069,1
henmore-brook,2126,2
hermitage-stream,9202,1
hillfarrance-brook,3084,1
hilton-brook,9101,1
hinksey-stream,9120,1
hinksey-stream,7076,2
hodge-beck,8045,1
hoe-stream,7241,1
hogsmill-river,7264,1
hogsmill-river,7265,2
hogsmill-river,7266,3
hol-beck,9153,1
holderness-drain,8383,1
holderness-drain,9389,2
holderness-drain,8382,3
holgate-beck,8234,1
holme-brook,9033,1
honddu,4031,1
horner-water,3091,1
horsbere-brook,2179,1
horsbere-brook,9028,2
horsbere-brook,2222,3
horsbere-brook,9294,4
horsbere-brook,2180,5
hovingham-beck,8230,1
hughenden-stream,7159,1
huish-level-rhyne,3065,1
