id,local_name,qualified_name,slug
1001,Alconbury Brook,Alconbury Brook,alconbury-brook
1002,Aldford Brook,Aldford Brook,aldford-brook
1003,Aldingbourne Rife,Aldingbourne Rife,aldingbourne-rife
1004,Aller Brook,Aller Brook,aller-brook
1005,Allison Dike,Allison Dike,allison-dike
1006,Alverthorpe Beck,Alverthorpe Beck,alverthorpe-beck
1007,Alwen,Alwen,alwen
1008,Alyn,Alyn,alyn
1009,Ampney Brook,Ampney Brook,ampney-brook
1011,Arkle Beck,Arkle Beck,arkle-beck
1012,Arrowe Brook,Arrowe Brook,arrowe-brook
1013,Ashbrooke,Ashbrooke,ashbrooke
1014,Atherfield Brook,Atherfield Brook,atherfield-brook
1015,Babingley River,Babingley River,babingley-river
1016,Back Delfin,Back Delfin,back-delfin
1017,Badsey Brook,Badsey Brook,badsey-brook
1018,Bagley Brook,Bagley Brook,bagley-brook
1019,Bagley Dike,Bagley Dike,bagley-dike
1020,Baguley Brook,Baguley Brook,baguley-brook
1021,Baildon Dike,Baildon Dike,baildon-dike
1022,Balne Beck,Balne Beck,balne-beck
1023,Barbourne Brook,Barbourne Brook,barbourne-brook
1024,Bardsey Beck,Bardsey Beck,bardsey-beck
1025,Barge Canal,Barge Canal,barge-canal
1026,Barlings Eau,Barlings Eau,barlings-eau
1027,Barmston Drain,Barmston Drain,barmston-drain
1028,Barnham Rife,Barnham Rife,barnham-rife
1029,Bartley Water,Bartley Water,bartley-water
1030,Barton Haven,Barton Haven,barton-haven
1031,Batley Beck,Batley Beck,batley-beck
1032,Bear Brook,Bear Brook,bear-brook
1033,Beaulieu River,Beaulieu River,beaulieu-river
1034,Bechan Brook,Bechan Brook,bechan-brook
1035,Bedale Beck,Bedale Beck,bedale-beck
1036,Bedburn Beck,Bedburn Beck,bedburn-beck
1037,Beverley Brook,Beverley Brook,beverley-brook
1038,Bickerly Mill Stream,Bickerly Mill Stream,bickerly-mill-stream
1039,Bielby Beck,Bielby Beck,bielby-beck
1040,Billinghay Skirth,Billinghay Skirth,billinghay-skirth
1041,Bin Brook,Bin Brook,bin-brook
1042,Bishop Monkton Beck,Bishop Monkton Beck,bishop-monkton-beck
1043,Black Brook,Black Brook (Leicestershire),black-brook-leicestershire
1999,Black Brook,Black Brook (Yorkshire),black-brook-yorkshire
1044,Blackburn Brook,Blackburn Brook,blackburn-brook
1045,Blackfoss Beck,Blackfoss Beck,blackfoss-beck
1046,Blacup Beck,Blacup Beck,blacup-beck
1047,Bloxham Brook,Bloxham Brook,bloxham-brook
1048,Blue Beck,Blue Beck,blue-beck
1049,Bodmin Town Leat,Bodmin Town Leat,bodmin-town-leat
1050,Bolingey Stream,Bolingey Stream,bolingey-stream
1051,Bosham Stream,Bosham Stream,bosham-stream
1052,Bottle Brook,Bottle Brook,bottle-brook
1053,Boundary Brook,Boundary Brook,boundary-brook
1054,Bourn Brook,Bourn Brook,bourn-brook
1055,Bourne Brook,Bourne Brook,bourne-brook
1056,Bourne Rivulet,Bourne Rivulet,bourne-rivulet
1057,Bow Brook,Bow Brook,bow-brook
1058,Bowmont Water,Bowmont Water,bowmont-water
1059,Bradford Beck,Bradford Beck,bradford-beck
1060,Bradiford Water,Bradiford Water,bradiford-water
1061,Bradley Brook,Bradley Brook,bradley-brook
1062,Bramham Beck,Bramham Beck,bramham-beck
2000,Brampton Beck,Brampton Beck,brampton-beck
1063,Brampton Branch,Brampton Branch,brampton-branch
1064,Bridgehouse Beck,Bridgehouse Beck,bridgehouse-beck
1065,Brinkworth Brook,Brinkworth Brook,brinkworth-brook
1066,Brislington Brook,Brislington Brook,brislington-brook
1068,Broad Fleet,Broad Fleet,broad-fleet
1069,Brompton Beck,Brompton Beck,brompton-beck
1071,Brook Dike,Brook Dike,brook-dike
1072,Brough Beck,Brough Beck,brough-beck
1073,Broughton Beck,Broughton Beck,broughton-beck
1074,Broughton Brook,Broughton Brook,broughton-brook
1075,Browney Dyke,Browney Dyke,browney-dyke
1076,Brownwich Stream,Brownwich Stream,brownwich-stream
1077,Buck Beck,Buck Beck,buck-beck
1078,Budleigh Brook,Budleigh Brook,budleigh-brook
1079,Bulstake Stream,Bulstake Stream,bulstake-stream
1080,Bumpstead Brook,Bumpstead Brook,bumpstead-brook
2023,Burn Valley Beck,Burn Valley Beck,burn-valley-beck
1081,Burrow Beck,Burrow Beck,burrow-beck
1082,Burstow Stream,Burstow Stream,burstow-stream
1083,Burstwick Drain,Burstwick Drain,burstwick-drain
1084,Bury Brook,Bury Brook,bury-brook
1085,Bushy Beck,Bushy Beck,bushy-beck
1086,By Brook,By Brook,by-brook
1087,Caker Stream,Caker Stream,caker-stream
1088,Camlad,Camlad,camlad
1089,Candover Stream,Candover Stream,candover-stream
1090,Canley Brook,Canley Brook,canley-brook
1091,Cannington Brook,Cannington Brook,cannington-brook
1092,Cannon Brook,Cannon Brook,cannon-brook
1093,Canons Brook,Canons Brook,canons-brook
1094,Carnon River,Carnon River,carnon-river
1095,Carr Brook,Carr Brook,carr-brook
1096,Catcliffe Drain,Catcliffe Drain,catcliffe-drain
1097,Ceiriog,Ceiriog,ceiriog
1098,Chad Brook,Chad Brook,chad-brook
1099,Chalgrove Brook,Chalgrove Brook,chalgrove-brook
1100,Charlton Brook,Charlton Brook,charlton-brook
1101,Cheddar Yeo,Cheddar Yeo,cheddar-yeo
1102,Cheriton Stream,Cheriton Stream,cheriton-stream
1104,Chew Stoke Brook,Chew Stoke Brook,chew-stoke-brook
1105,Ching Brook,Ching Brook,ching-brook
1106,Chitterne Brook,Chitterne Brook,chitterne-brook
2015,Church Beck,Church Beck,church-beck
1107,Clackers Brook,Clackers Brook,clackers-brook
1108,Clanfield Brook,Clanfield Brook,clanfield-brook
1109,Clay Coton Brook,Clay Coton Brook,clay-coton-brook
2024,Clennon Valley Watercourse,Clennon Valley Watercourse,clennon-valley-watercourse
1110,Clipstone Brook,Clipstone Brook,clipstone-brook
1111,Clow Beck,Clow Beck,clow-beck
1112,Coal Burn,Coal Burn,coal-burn
1113,Coastal Stream,Coastal Stream,coastal-stream
1114,Cobbins Brook,Cobbins Brook,cobbins-brook
1115,Cock Beck,Cock Beck,cock-beck
1116,Cocker Beck,Cocker Beck,cocker-beck
1117,Cockers Dyke,Cockers Dyke,cockers-dyke
1118,Cockshaw Burn,Cockshaw Burn,cockshaw-burn
1119,Cod Beck,Cod Beck,cod-beck
2025,Cole Brook,Cole Brook,cole-brook
1120,Colliters Brook,Colliters Brook,colliters-brook
1121,Colne Brook,Colne Brook,colne-brook
1122,Colne Water,Colne Water,colne-water
1123,Combe Haven,Combe Haven,combe-haven
1124,Coney Gut,Coney Gut,coney-gut
1125,Congresbury Yeo,Congresbury Yeo,congresbury-yeo
2001,Costa Beck,Costa Beck,costa-beck
1126,Cove Brook,Cove Brook,cove-brook
1127,Cragg Brook,Cragg Brook,cragg-brook
1128,Cranleigh Waters,Cranleigh Waters,cranleigh-waters
1129,Cripsey Brook,Cripsey Brook,cripsey-brook
1130,Cuckmere & Pevensey Levels,Cuckmere & Pevensey Levels,cuckmere-&-pevensey-levels
1131,Cundall Beck,Cundall Beck,cundall-beck
1132,Cunsey Beck,Cunsey Beck,cunsey-beck
1133,Currymoor Drain,Currymoor Drain,currymoor-drain
1134,Dacre Beck,Dacre Beck,dacre-beck
1135,Danes Stream,Danes Stream,danes-stream
1136,Daniels Brook,Daniels Brook,daniels-brook
1137,Dauntsey Brook,Dauntsey Brook,dauntsey-brook
1138,Dawlish Water,Dawlish Water,dawlish-water
1139,Day Brook,Day Brook,day-brook
1140,De Lank River,De Lank River,de-lank-river
1141,Dean,Dean,dean
1142,Dean Bottom Beck,Dean Bottom Beck,dean-bottom-beck
2016,Dean Burn,Dean Burn,dean-burn
1143,Deans Brook,Deans Brook,deans-brook
1144,Dimore Brook,Dimore Brook,dimore-brook
1145,Docken's Water,Docken's Water,docken's-water
1146,Dollis Brook,Dollis Brook,dollis-brook
1147,Doniford Stream,Doniford Stream,doniford-stream
1148,Dorcan Brook,Dorcan Brook,dorcan-brook
1149,River Frome,River Frome (Dorset),river-frome-dorset
1150,Dover Beck,Dover Beck,dover-beck
1151,Dovers Brook,Dovers Brook,dovers-brook
1152,Dowles Brook,Dowles Brook,dowles-brook
1153,Dragley Beck,Dragley Beck,dragley-beck
2002,Dulas Brook,Dulas Brook,dulas-brook
1154,Ea Beck,Ea Beck,ea-beck
1155,Eagley Brook,Eagley Brook,eagley-brook
1156,Earby Beck,Earby Beck,earby-beck
1157,East Clandon Stream,East Clandon Stream,east-clandon-stream
1158,East Dart River,East Dart River,east-dart-river
1159,East Fen Catchwater,East Fen Catchwater,east-fen-catchwater
1160,East Glen River,East Glen River,east-glen-river
1161,East Lyn River,East Lyn River,east-lyn-river
1162,East Okement River,East Okement River,east-okement-river
1163,East Stour,East Stour (Kent),east-stour-kent
1164,East Wilder Brook,East Wilder Brook,east-wilder-brook
1165,Eastburn Beck,Eastburn Beck,eastburn-beck
1166,Eastern Yar,Eastern Yar,eastern-yar
1167,Edgware Brook,Edgware Brook,edgware-brook
1168,Egginton Brook,Egginton Brook,egginton-brook
1169,Eller Beck,Eller Beck,eller-beck
1170,Elvington Beck,Elvington Beck,elvington-beck
1171,Emm Brook,Emm Brook,emm-brook
1172,Emral Brook,Emral Brook,emral-brook
1173,Endon Brook,Endon Brook,endon-brook
1174,Eridge Stream,Eridge Stream,eridge-stream
1175,Ewelme Brook,Ewelme Brook,ewelme-brook
1176,Exminster Marshes,Exminster Marshes,exminster-marshes
1177,Farnley Beck,Farnley Beck,farnley-beck
1178,Fenay Beck,Fenay Beck,fenay-beck
1179,Ferring Rife,Ferring Rife,ferring-rife
1180,Field Drain,Field Drain,field-drain
1181,Finham Brook,Finham Brook,finham-brook
1182,Fishlake Stream,Fishlake Stream,fishlake-stream
1183,Fleet Drain,Fleet Drain,fleet-drain
1184,Flood Channel,Flood Channel,flood-channel
1185,Ford Brook,Ford Brook,ford-brook
1186,Ford Green Brook,Ford Green Brook,ford-green-brook
2017,Ford Stream,Ford Stream,ford-stream
1187,Fosdyke Canal,Fosdyke Canal,fosdyke-canal
1188,Foston Beck,Foston Beck,foston-beck
1189,Foston Brook,Foston Brook,foston-brook
1190,Foudry Brook,Foudry Brook,foudry-brook
1191,Fowlea Brook,Fowlea Brook,fowlea-brook
1192,Fowler Bridge Drain,Fowler Bridge Drain,fowler-bridge-drain
1193,Frays River,Frays River,frays-river
1194,Frodingham Beck,Frodingham Beck,frodingham-beck
1195,Gaddesby Brook,Gaddesby Brook,gaddesby-brook
1196,Gatwick Stream,Gatwick Stream,gatwick-stream
1197,Gauze Brook,Gauze Brook,gauze-brook
1198,Gelyn,Gelyn,gelyn
1199,Gilwiskaw Brook,Gilwiskaw Brook,gilwiskaw-brook
