slug	local_name	qualified_name
alconbury-brook	Alconbury Brook	Alconbury Brook
aldford-brook	Aldford Brook	Aldford Brook
aldingbourne-rife	Aldingbourne Rife	Aldingbourne Rife
aller-brook	Aller Brook	Aller Brook
allison-dike	Allison Dike	Allison Dike
alverthorpe-beck	Alverthorpe Beck	Alverthorpe Beck
alwen	Alwen	Alwen
alyn	Alyn	Alyn
ampney-brook	Ampney Brook	Ampney Brook
arkle-beck	Arkle Beck	Arkle Beck
arrowe-brook	Arrowe Brook	Arrowe Brook
ashbrooke	Ashbrooke	Ashbrooke
atherfield-brook	Atherfield Brook	Atherfield Brook
babingley-river	Babingley River	Babingley River
back-delfin	Back Delfin	Back Delfin
badsey-brook	Badsey Brook	Badsey Brook
bagley-brook	Bagley Brook	Bagley Brook
bagley-dike	Bagley Dike	Bagley Dike
baguley-brook	Baguley Brook	Baguley Brook
baildon-dike	Baildon Dike	Baildon Dike
balne-beck	Balne Beck	Balne Beck
barbourne-brook	Barbourne Brook	Barbourne Brook
bardsey-beck	Bardsey Beck	Bardsey Beck
barge-canal	Barge Canal	Barge Canal
barlings-eau	Barlings Eau	Barlings Eau
barmston-drain	Barmston Drain	Barmston Drain
barnham-rife	Barnham Rife	Barnham Rife
bartley-water	Bartley Water	Bartley Water
barton-haven	Barton Haven	Barton Haven
batley-beck	Batley Beck	Batley Beck
bear-brook	Bear Brook	Bear Brook
beaulieu-river	Beaulieu River	Beaulieu River
bechan-brook	Bechan Brook	Bechan Brook
bedale-beck	Bedale Beck	Bedale Beck
bedburn-beck	Bedburn Beck	Bedburn Beck
beverley-brook	Beverley Brook	Beverley Brook
bickerly-mill-stream	Bickerly Mill Stream	Bickerly Mill Stream
bielby-beck	Bielby Beck	Bielby Beck
billinghay-skirth	Billinghay Skirth	Billinghay Skirth
bin-brook	Bin Brook	Bin Brook
bishop-monkton-beck	Bishop Monkton Beck	Bishop Monkton Beck
black-brook-leicestershire	Black Brook	Black Brook (Leicestershire)
black-brook-yorkshire	Black Brook	Black Brook (Yorkshire)
blackburn-brook	Blackburn Brook	Blackburn Brook
blackfoss-beck	Blackfoss Beck	Blackfoss Beck
blacup-beck	Blacup Beck	Blacup Beck
bloxham-brook	Bloxham Brook	Bloxham Brook
blue-beck	Blue Beck	Blue Beck
bodmin-town-leat	Bodmin Town Leat	Bodmin Town Leat
bolingey-stream	Bolingey Stream	Bolingey Stream
bosham-stream	Bosham Stream	Bosham Stream
bottle-brook	Bottle Brook	Bottle Brook
boundary-brook	Boundary Brook	Boundary Brook
bourn-brook	Bourn Brook	Bourn Brook
bourne-brook	Bourne Brook	Bourne Brook
bourne-rivulet	Bourne Rivulet	Bourne Rivulet
bow-brook	Bow Brook	Bow Brook
bowmont-water	Bowmont Water	Bowmont Water
bradford-beck	Bradford Beck	Bradford Beck
bradiford-water	Bradiford Water	Bradiford Water
bradley-brook	Bradley Brook	Bradley Brook
bramham-beck	Bramham Beck	Bramham Beck
brampton-beck	Brampton Beck	Brampton Beck
brampton-branch	Brampton Branch	Brampton Branch
bridgehouse-beck	Bridgehouse Beck	Bridgehouse Beck
brinkworth-brook	Brinkworth Brook	Brinkworth Brook
brislington-brook	Brislington Brook	Brislington Brook
broad-fleet	Broad Fleet	Broad Fleet
brompton-beck	Brompton Beck	Brompton Beck
brook-dike	Brook Dike	Brook Dike
brough-beck	Brough Beck	Brough Beck
broughton-beck	Broughton Beck	Broughton Beck
broughton-brook	Broughton Brook	Broughton Brook
browney-dyke	Browney Dyke	Browney Dyke
brownwich-stream	Brownwich Stream	Brownwich Stream
buck-beck	Buck Beck	Buck Beck
budleigh-brook	Budleigh Brook	Budleigh Brook
bulstake-stream	Bulstake Stream	Bulstake Stream
bumpstead-brook	Bumpstead Brook	Bumpstead Brook
burn-valley-beck	Burn Valley Beck	Burn Valley Beck
burrow-beck	Burrow Beck	Burrow Beck
burstow-stream	Burstow Stream	Burstow Stream
burstwick-drain	Burstwick Drain	Burstwick Drain
bury-brook	Bury Brook	Bury Brook
bushy-beck	Bushy Beck	Bushy Beck
by-brook	By Brook	By Brook
caker-stream	Caker Stream	Caker Stream
camlad	Camlad	Camlad
candover-stream	Candover Stream	Candover Stream
canley-brook	Canley Brook	Canley Brook
cannington-brook	Cannington Brook	Cannington Brook
cannon-brook	Cannon Brook	Cannon Brook
canons-brook	Canons Brook	Canons Brook
carnon-river	Carnon River	Carnon River
carr-brook	Carr Brook	Carr Brook
catcliffe-drain	Catcliffe Drain	Catcliffe Drain
ceiriog	Ceiriog	Ceiriog
chad-brook	Chad Brook	Chad Brook
chalgrove-brook	Chalgrove Brook	Chalgrove Brook
charlton-brook	Charlton Brook	Charlton Brook
cheddar-yeo	Cheddar Yeo	Cheddar Yeo
cheriton-stream	Cheriton Stream	Cheriton Stream
chew-stoke-brook	Chew Stoke Brook	Chew Stoke Brook
ching-brook	Ching Brook	Ching Brook
chitterne-brook	Chitterne Brook	Chitterne Brook
church-beck	Church Beck	Church Beck
clackers-brook	Clackers Brook	Clackers Brook
clanfield-brook	Clanfield Brook	Clanfield Brook
clay-coton-brook	Clay Coton Brook	Clay Coton Brook
clennon-valley-watercourse	Clennon Valley Watercourse	Clennon Valley Watercourse
clipstone-brook	Clipstone Brook	Clipstone Brook
clow-beck	Clow Beck	Clow Beck
coal-burn	Coal Burn	Coal Burn
coastal-stream	Coastal Stream	Coastal Stream
cobbins-brook	Cobbins Brook	Cobbins Brook
cock-beck	Cock Beck	Cock Beck
cocker-beck	Cocker Beck	Cocker Beck
