station_id,fwis_code,fwis_type,direction,value
1017,065WAF424,A,u,3.1
1017,065FWF5003,W,u,4.45
1017,065FWF5003,W,u,4.15
1006,065WAF433,A,u,4.2
1006,065FWF5404,W,u,4.7
1006,065WAF433,A,u,4.45
1006,065WAF433,A,u,4.8
1017,065WAF424,A,u,4
1006,065FWF5404,W,u,5.2
1011,065WAF424,A,u,2.9
1011,065WAF424,A,u,3
1011,065WAF424,A,u,3.3
1011,065FWF5004,W,u,3.3
1011,065FWF5004,W,u,3.6
1011,065FWF5004,W,u,3.8
1013,065WAF421,A,u,12.2
1013,065FWF5103,W,u,13
1013,065WAF421,A,u,12.6
1013,065WAF421,A,u,13
1013,065FWF5103,W,u,13.5
1013,065FWF5103,W,u,13.25
1006,065FWF5404,W,u,4.95
1017,065WAF424,A,u,3.55
1017,065FWF5003,W,u,3.85
1024,065FWC0101,W,u,2.15
1051,065WAF123,A,u,19.9
1051,065FWF3501,W,u,20.7
1049,065FWF3407,W,u,12.85
1049,065WAF122,A,u,12.7
1049,065FWF3407,W,u,13
1049,065WAF122,A,u,12.8
1051,065FWF3501,W,u,20.3
1051,065FWF3501,W,u,20.1
1051,065WAF123,A,u,20.05
1062,065WAF140,A,u,11.2
1062,065WAF140,A,u,11.55
1062,065WAF140,A,u,11.4
1062,065FWF3701,W,u,11.6
1046,065WAF214,A,u,1.69
1046,065WAF214,A,u,1.6
1046,065FWF7301,W,u,1.8
1046,065FWF7301,W,u,2
1056,065WAF124,A,u,2.7
1056,065WAF124,A,u,2.7
1056,065FWF3408,W,u,2.78
1056,065FWF3408,W,u,2.89
1056,065FWF3408,W,u,2.82
1040,064WAF7Darent,A,u,60.35
1040,064FWF7Otford,W,u,60.8
1040,064FWF7Otford,W,u,61.05
1040,064WAF7Darent,A,u,60.75
1060,065WAF140,A,u,7.1
1060,065FWF3701,W,u,7.6
1060,065WAF140,A,u,7.4
1060,065FWF3701,W,u,7.8
1047,065WAC220,A,u,2.3
1047,065FWC8101,W,u,2.8
1001,065WAF434,A,u,3.5
1001,065WAF434,A,u,3.88
1001,065FWF5402,W,u,3.9
1001,065FWF5402,W,u,4
1001,065FWF5402,W,u,4.2
1001,065FWF5402,W,u,4.3
1046,065WAF214,A,u,1.4
1046,065WAF214,A,u,1.2
1062,065FWF3701,W,u,11.8
1018,065FWC8303,W,u,3
1071,064WAF324,A,u,39
1071,064WAF324,A,u,39.5
1071,064FWF8A1,W,u,40.25
1071,064FWF8A1,W,u,39.9
1036,064FWF7Cray,W,u,7.25
1036,064WAF7ShutCray,A,u,6.8
1036,064WAF7ShutCray,A,u,7.2
1036,064FWF7Cray,W,u,7.3
1052,065WAF121,A,u,35.7
1052,065FWF3405,W,u,35.95
1052,065FWF3405,W,u,36.15
1052,065WAF121,A,u,35.8
